"";"X";"Sepal.Length";"Sepal.Width";"Petal.Length";"Petal.Width";"Species"
"1";1;4,73212806961862;3,5;1,4;0,2;"setosa"
"2";2;4,53212806961862;3;1,4;0,2;"setosa"
"3";3;4,33212806961862;3,2;1,3;0,2;"setosa"
"4";4;4,23212806961862;3,1;1,5;0,2;"setosa"
"5";5;4,63212806961862;3,6;1,4;0,2;"setosa"
"6";6;5,03212806961862;3,9;1,7;0,4;"setosa"
"7";7;4,23212806961862;3,4;1,4;0,3;"setosa"
"8";8;4,63212806961862;3,4;1,5;0,2;"setosa"
"9";9;4,03212806961862;2,9;1,4;0,2;"setosa"
"10";10;4,53212806961862;3,1;1,5;0,1;"setosa"
"11";11;5,03212806961862;3,7;1,5;0,2;"setosa"
"12";12;4,43212806961862;3,4;1,6;0,2;"setosa"
"13";13;4,43212806961862;3;1,4;0,1;"setosa"
"14";14;3,93212806961862;3;1,1;0,1;"setosa"
"15";15;5,43212806961862;4;1,2;0,2;"setosa"
"16";16;5,33212806961862;4,4;1,5;0,4;"setosa"
"17";17;5,03212806961862;3,9;1,3;0,4;"setosa"
"18";18;4,73212806961862;3,5;1,4;0,3;"setosa"
"19";19;5,33212806961862;3,8;1,7;0,3;"setosa"
"20";20;4,73212806961862;3,8;1,5;0,3;"setosa"
"21";21;5,03212806961862;3,4;1,7;0,2;"setosa"
"22";22;4,73212806961862;3,7;1,5;0,4;"setosa"
"23";23;4,23212806961862;3,6;1;0,2;"setosa"
"24";24;4,73212806961862;3,3;1,7;0,5;"setosa"
"25";25;4,43212806961862;3,4;1,9;0,2;"setosa"
"26";26;4,63212806961862;3;1,6;0,2;"setosa"
"27";27;4,63212806961862;3,4;1,6;0,4;"setosa"
"28";28;4,83212806961862;3,5;1,5;0,2;"setosa"
"29";29;4,83212806961862;3,4;1,4;0,2;"setosa"
"30";30;4,33212806961862;3,2;1,6;0,2;"setosa"
"31";31;4,43212806961862;3,1;1,6;0,2;"setosa"
"32";32;5,03212806961862;3,4;1,5;0,4;"setosa"
"33";33;4,83212806961862;4,1;1,5;0,1;"setosa"
"34";34;5,13212806961862;4,2;1,4;0,2;"setosa"
"35";35;4,53212806961862;3,1;1,5;0,2;"setosa"
"36";36;4,63212806961862;3,2;1,2;0,2;"setosa"
"37";37;5,13212806961862;3,5;1,3;0,2;"setosa"
"38";38;4,53212806961862;3,6;1,4;0,1;"setosa"
"39";39;4,03212806961862;3;1,3;0,2;"setosa"
"40";40;4,73212806961862;3,4;1,5;0,2;"setosa"
"41";41;4,63212806961862;3,5;1,3;0,3;"setosa"
"42";42;4,13212806961862;2,3;1,3;0,3;"setosa"
"43";43;4,03212806961862;3,2;1,3;0,2;"setosa"
"44";44;4,63212806961862;3,5;1,6;0,6;"setosa"
"45";45;4,73212806961862;3,8;1,9;0,4;"setosa"
"46";46;4,43212806961862;3;1,4;0,3;"setosa"
"47";47;4,73212806961862;3,8;1,6;0,2;"setosa"
"48";48;4,23212806961862;3,2;1,4;0,2;"setosa"
"49";49;4,93212806961862;3,7;1,5;0,2;"setosa"
"50";50;4,63212806961862;3,3;1,4;0,2;"setosa"
"51";51;6,63212806961862;3,2;4,7;1,4;"versicolor"
"52";52;6,03212806961862;3,2;4,5;1,5;"versicolor"
"53";53;6,53212806961862;3,1;4,9;1,5;"versicolor"
"54";54;5,13212806961862;2,3;4;1,3;"versicolor"
"55";55;6,13212806961862;2,8;4,6;1,5;"versicolor"
"56";56;5,33212806961862;2,8;4,5;1,3;"versicolor"
"57";57;5,93212806961862;3,3;4,7;1,6;"versicolor"
"58";58;4,53212806961862;2,4;3,3;1;"versicolor"
"59";59;6,23212806961862;2,9;4,6;1,3;"versicolor"
"60";60;4,83212806961862;2,7;3,9;1,4;"versicolor"
"61";61;4,63212806961862;2;3,5;1;"versicolor"
"62";62;5,53212806961862;3;4,2;1,5;"versicolor"
"63";63;5,63212806961862;2,2;4;1;"versicolor"
"64";64;5,73212806961862;2,9;4,7;1,4;"versicolor"
"65";65;5,23212806961862;2,9;3,6;1,3;"versicolor"
"66";66;6,33212806961862;3,1;4,4;1,4;"versicolor"
"67";67;5,23212806961862;3;4,5;1,5;"versicolor"
"68";68;5,43212806961862;2,7;4,1;1;"versicolor"
